borough,neighbourhoods,Latitude,Longitude,Postal,population
Balaraja,BALARAJA,-6.2001799999889,106.43687773281,"15611,15612,15613,15614,15615,15616,15617,15618,15619,15610",131566
Cikupa,CIBADAK,-6.3405836824577,106.22443499929001,42357,279785
Cikupa,CIKUPA,-6.2171289370242,106.51310500042,15710,279785
Cikupa,SUKAMULYA,-6.158934999994201,106.4397349999,"15631,15632,15633,15634,15635,15636,15637,15638,15612",279785
Sukamulya,SUKAMULYA,-6.158934999994201,106.4397349999,"15631,15632,15633,15634,15635,15636,15637,15638,15612",65911
Sukamulya,BENDA,-6.1259025509929,106.66518416537,"15123,15124,15125,15126",65911
Cisauk,CISAUK,-6.3275231475160005,106.62497834976,"15841,15842,15843,15844,15845,15846,15340,15345",82941
Cisoka,CARENANG,-6.0867497330307,106.32245820503,42195,94116
Cisoka,CISOKA,-6.257710000004599,106.41732624458,"15731,15732,15733,15734,15735,15736,15737,15738,15739,15730",94116
Gunung Kaler,GUNUNG KALER,-6.0959899999967995,106.37626242794,"15651,15652,15653,15654,15655,15656,15657,15658,15659,15620",52443
Jambe,JAMBE,-6.321557564531401,106.50056895601999,"15921,15922,15923,15924,15925,15926,15927,15928,15929,15720",44973
Jayanti,CIKANDE,-6.1941639670043,106.35211120757,42186,72724
Jayanti,JAYANTI,-6.2093999999762,106.39759903611,"15641,15642,15643,15644,15645,15646,15647,15648,15611",72724
Jayanti,PABUARAN,-6.1985850000082,106.09358549564001,"42163,42168",72724
Kelapa Dua,KELAPA DUA,-6.2392715835324,106.61373000056999,"15831,15832,15833,15834,15835,15836,15811",227782
Kemiri,KEMIRI,-6.0904671059824,106.46648499969,"15671,15672,15673,15674,15675,15676,15677,15530",43977
Kresek,KRESEK,-6.1485550000273,106.40231444397,"15621,15622,15623,15624,15625,15626,15627,15628,15629",65659
Kronjo,KRONJO,-6.0763790365096,106.42884456966999,"15551,15552,15553,15554,15555,15556,15557,15558,15559,15550",61489
Legok,LEGOK,-6.3032326145181,106.55739500031,"15821,15822,15823,15824,15825,15826,15827,15828,15820",121577
Mauk,GUNUNG SARI,-6.1530385699911,106.03348000084999,"42169,42160",82768
Pagedangan,PAGEDANGAN,-6.2971787900008,106.61577412602,"15851,15852,15853,15854,15855,15856,15857,15858,15859,15157,15330",117317
Pakuhaji,PAKUHAJI,-6.054424738492499,106.60553399038,"15571,15572,15573,15574,15575,15576,15577,15578,15579,15570",114517
Panongan,PANONGAN,-6.277677887994,106.52303999989999,"15710,15711",136925
Rajeg,RAJEG,-6.1155131690248,106.51373338794001,"15541,15542,15543,15544,15545,15546,15547,15548,15549,15540",171597
Sepatan,SEPATAN,-6.123085000023,106.57634331790001,"15521,15522,15523,15524,15525,15526,15527,15528,15520",118532
Sepatan Timur,LEBAK WANGI,-6.076180978974401,106.28845351156001,"42197,42181",94929
Sindang Jaya,SINDANG JAYA,-6.1677445935313,106.49771659504,"15591,15592,15593,15594,15595,15596,15597,15561",93973
Solear,SOLEAR,-6.303647179006799,106.42773740511998,"15741,15742,15743,15744,15745,15746,15747,15731",90946
Sukadiri,KOSAMBI,-6.0791226544962,106.68093492143,"15211,15212,15213,15214,15215",56199
Sukadiri,SUKADIRI,-6.0682019955625,106.55984500109001,"15681,15682,15683,15684,15685,15686,15687,15688,15532",56199
Teluknaga,TELUKNAGA,-6.058094078984901,106.67283950274,"15511,15512,15513,15514,15515,15516,15517,15518,15519,15510",163176
Tigaraksa,CILELES,-6.4865544504965,106.07405283044001,"42353,42352",154897
Tigaraksa,TIGARAKSA,-6.259875000009299,106.46901500015998,"15911,15912,15913,15914,15915,15916,15917,15931,15932,15933,15934,15935,15936,15937,15721",154897
